Assembly	Cluster	X1	X2	ST	Country	CollectionYear	Aerobactin	Salmochelin	Species	Bla_Carb_acquired	Genotype
GCF_000281475.1_KPNIH18_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281495.1_KPNIH21_1_genomic.fna		-22.155717849731445	-4.723536968231201	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281535.2_ASM28153v2_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	USA	2011	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281555.1_KPNIH8_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281575.1_KPNIH11_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281595.1_KPNIH16_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000281635.1_KPNIH23_1_genomic.fna		-22.109596252441406	-4.736721038818359	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000283455.1_KlebKpneumoniae_ST258_1.0_genomic.fna		-22.147340774536133	-4.578576564788818	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000309505.2_ASM30950v2_genomic.fna		-22.212623596191406	-3.9630982875823975	ST512	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000313365.1_ASM31336v1_genomic.fna		-22.596933364868164	-3.173456907272339	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000313465.1_ASM31346v1_genomic.fna		-22.227947235107422	-4.730547904968262	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000316245.2_MTE2_ImprovedAssembly_genomic.fna		-21.671167373657227	-4.320404052734375	ST258	USA	2007	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000334515.1_ASM33451v1_genomic.fna		-22.723888397216797	-2.596780776977539	nan	nan	NA	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_000338255.1_KP1_contigs_1-272_genomic.fna		-23.845666885375977	7.8316545486450195	ST86	USA	NA	iuc 1	iro 1	Klebsiella pneumoniae	-	hvKp
GCF_000349265.2_KPBAA1705_01152013_genomic.fna		-22.03316307067871	-4.689234256744385	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000349285.2_G000_12282012_genomic.fna		-20.63927459716797	-0.6837084889411926	ST11	USA	2010	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000364385.3_ASM36438v3_genomic.fna		-20.63927459716797	-0.6837084889411926	ST11	USA	2010	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000401195.1_gkp2v01_genomic.fna		-21.770610809326172	-4.258512496948242	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406385.1_gkp47v01_genomic.fna		-22.939443588256836	-0.21273541450500488	ST1272	USA	nan	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000406405.1_gkp1v01_genomic.fna		-23.201101303100586	-4.161002159118652	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000406425.1_gkp24v01_genomic.fna		-21.770610809326172	-4.258512496948242	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406445.1_gkp25v01_genomic.fna		-21.634841918945312	-4.512172698974609	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406465.1_gkp27v01_genomic.fna		-21.58949089050293	-4.438929557800293	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406485.1_gkp53v01_genomic.fna		-21.73590087890625	-4.826025485992432	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406505.1_gkp48v01_genomic.fna		-23.282878875732422	-0.2793388068675995	ST1272	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000406525.1_gkp26v01_genomic.fna		-21.935001373291016	-4.937784671783447	ST234	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406545.1_gkp45v01_genomic.fna		-22.915075302124023	-3.9432244300842285	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000406565.1_gkp42v01_genomic.fna		-22.037473678588867	-3.536775588989258	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406585.1_gkp43v01_genomic.fna		-21.535863876342773	-4.3201003074646	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406605.1_gkp29v01_genomic.fna		-21.73590087890625	-4.826025485992432	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406625.1_gkp44v01_genomic.fna		-21.535863876342773	-4.3201003074646	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406645.1_gkp46v01_genomic.fna		-21.535863876342773	-4.3201003074646	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406665.1_gkp30v01_genomic.fna		-21.48105812072754	-4.288704872131348	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406685.1_gkp34v01_genomic.fna		-23.189603805541992	-4.141234874725342	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-7	CRKp
GCF_000406705.1_gkp37v01_genomic.fna		-21.594839096069336	-4.38925838470459	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406725.1_gkp38v01_genomic.fna		-23.176769256591797	-4.1371331214904785	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000406745.1_gkp54v01_genomic.fna		-21.48105812072754	-4.288704872131348	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406765.2_ASM40676v2_genomic.fna		-22.095895767211914	-4.556609153747559	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406825.1_gkp39v01_genomic.fna		-23.201101303100586	-4.161002159118652	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000406845.1_gkp40v01_genomic.fna		-22.037473678588867	-3.536775588989258	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000406865.1_gkp56v01_genomic.fna		-22.915075302124023	-3.9432244300842285	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000406885.1_gkp57v01_genomic.fna		-22.095895767211914	-4.556609153747559	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000408965.1_gkp4v01_genomic.fna		-21.770610809326172	-4.258512496948242	ST258	USA	2008	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000409005.1_gkp33v01_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000409025.1_gkp41v01_genomic.fna		-22.037473678588867	-3.536775588989258	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000409045.1_gkp35v01_genomic.fna		-21.73590087890625	-4.826025485992432	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000409065.1_gkp10v01_genomic.fna		-23.051284790039062	-4.031128883361816	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000409085.1_gkp15v01_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000409105.1_gkp36v01_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000409125.1_gkp31v01_genomic.fna		-21.240703582763672	-0.9856893420219421	ST15	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000412575.2_B5055.1_genomic.fna		-24.694717407226562	8.923282623291016	ST35-2LV	nan	NA	iuc 2 (incomplete)	iro 2	Klebsiella pneumoniae	-	hvKp
GCF_000417045.1_gkp17v01_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417065.1_gkp14v01_genomic.fna		-21.73590087890625	-4.826025485992432	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417105.1_gkp3v01_genomic.fna		-22.095895767211914	-4.556609153747559	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417125.1_gkp5v01_genomic.fna		-21.770610809326172	-4.258512496948242	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417145.1_gkp23v01_genomic.fna		-22.915075302124023	-3.9432244300842285	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417165.1_gkp21v01_genomic.fna		-21.73590087890625	-4.826025485992432	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417185.1_gkp22v01_genomic.fna		-21.73590087890625	-4.826025485992432	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417225.2_ASM41722v2_genomic.fna		-21.999732971191406	-3.2179620265960693	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417245.1_gkp20v01_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417265.2_ASM41726v2_genomic.fna		-21.634721755981445	-4.602572441101074	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417305.1_gkp7v01_genomic.fna		-23.051284790039062	-4.031128883361816	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417325.1_gkp8v01_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417345.1_gkp9v01_genomic.fna		-23.189603805541992	-4.141234874725342	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417365.1_gkp50v01_genomic.fna		-22.095895767211914	-4.556609153747559	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417385.1_gkp51v01_genomic.fna		-21.658794403076172	-4.371181011199951	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417405.1_gkp49v01_genomic.fna		-21.48105812072754	-4.288704872131348	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417425.1_gkp52v01_genomic.fna		-21.830259323120117	-4.723872661590576	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417445.1_gkp6v01_genomic.fna		-23.201101303100586	-4.161002159118652	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000417485.1_gkp11v01_genomic.fna		-22.26108741760254	-0.5102720260620117	ST45	nan	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000417545.1_gkp19v01_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	nan	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000439165.1_KKPNMP14_genomic.fna		-21.81528091430664	-4.87650728225708	ST258	South Korea	2011	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000439185.1_UKKV901664_genomic.fna		-22.095163345336914	-3.422811269760132	ST258	USA	2002	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000474635.1_Kp303K1.0_genomic.fna		-21.565263748168945	-3.6144018173217773	ST15	Taiwan	2010	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000474865.1_Kleb_pneu_BIDMC_18C_V1_PacBio_genomic.fna		-22.08312225341797	-3.4708826541900635	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000474885.1_Kleb_pneu_BIDMC_12C_V1_PacBio_genomic.fna		-23.165088653564453	-3.508382797241211	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000474905.1_Kleb_pneu_BIDMC_16_V1_PacBio_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000495875.1_SeK50_genomic.fna		-22.227947235107422	-4.730547904968262	ST258	Italy	2010	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000495895.2_SfK50_genomic.fna		-22.227947235107422	-4.730547904968262	ST258	Italy	2011	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000512165.1_ASM51216v1_genomic.fna		-22.783260345458984	-2.3749606609344482	ST442	Brazil	2009	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000565135.1_Klebsiella_pneumoniae_Strain_NB60_whole-genome_sequencing_genomic.fna		-22.386817932128906	4.129855155944824	ST2357	China	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000585875.1_Kpn3159065_genomic.fna		-22.227947235107422	-4.730547904968262	ST512	Italy	2011	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000585895.1_KP4-R_genomic.fna		-22.227947235107422	-4.730547904968262	ST512	Italy	2011	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000585915.1_KP2-R_genomic.fna		-22.227947235107422	-4.730547904968262	ST512	Italy	2010	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000585935.1_KP5-R_genomic.fna		-22.227947235107422	-4.730547904968262	ST512	Italy	2011	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000585955.1_KP1-I_genomic.fna		-22.227947235107422	-4.730547904968262	ST512	Italy	2010	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000597905.1_ASM59790v1_genomic.fna		-23.099641799926758	-4.08637809753418	ST258	USA	2010	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000598005.1_ASM59800v1_genomic.fna		-23.08123016357422	-3.473177671432495	ST258	USA	2010	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000599905.1_KPB_4_IHQD_genomic.fna		-23.051284790039062	-4.031128883361816	ST258	USA	2012	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000599925.1_KPB_3_IHQD_genomic.fna		-21.688404083251953	-4.2944159507751465	ST258	USA	2012	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000688555.1_Kleb_pneu_CHS_16_V1_genomic.fna		-22.89903450012207	-3.610917568206787	ST258	USA	2013	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000688635.1_Kleb_pneu_CHS_08_V1_genomic.fna		-23.1734561920166	-3.4348316192626953	ST258	USA	2013	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000695285.2_SaK60_genomic.fna		-22.25348663330078	-4.039797782897949	ST512	Italy	2011	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000695305.2_SbK60_genomic.fna		-22.25348663330078	-4.039797782897949	ST512	Italy	2011	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000695935.1_ASM69593v1_genomic.fna		-22.95993995666504	-0.19460858404636383	ST34	USA	2012	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000699345.1_11227-1_genomic.fna		-23.298572540283203	-0.4318774938583374	ST228	USA	2005	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000709165.2_1601080v01_genomic.fna		-22.095895767211914	-4.556609153747559	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000709185.2_VAKP278v01_genomic.fna		-22.037473678588867	-3.536775588989258	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000709205.2_UHKPC45v01_genomic.fna		-21.87578582763672	-3.08146333694458	ST258	missing	NA	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000710805.1_De_novo_Assembly_genomic.fna		-23.845666885375977	7.8316545486450195	ST65	Malaysia	NA	iuc 1	iro 1	Klebsiella pneumoniae	-	hvKp
GCF_000710855.1_De_novo_Assembly_genomic.fna		-23.845666885375977	7.8316545486450195	ST65	Malaysia	NA	iuc 1	iro 1	Klebsiella pneumoniae	-	hvKp
GCF_000714675.1_ASM71467v1_genomic.fna		-22.08312225341797	-3.4708826541900635	ST258	USA	2012	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000717515.1_ASM71751v1_genomic.fna		-21.707530975341797	-4.851822853088379	ST258	USA	2012	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000722485.1_ASM72248v1_genomic.fna		-21.490205764770508	-1.8248664140701294	ST11	Spain	2012	-	-	Klebsiella pneumoniae	OXA-48	CRKp
GCF_000733255.1_ASM73325v1_genomic.fna		-19.747793197631836	0.3166082501411438	ST14	USA	NA	-	-	Klebsiella pneumoniae	NDM-1;OXA-232	CRKp
GCF_000739495.1_ASM73949v1_genomic.fna		-21.063138961791992	-2.36429500579834	ST395	USA	2012	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000747055.1_ASM74705v1_genomic.fna		-22.983755111694336	2.592681407928467	ST3583	Malaysia	2013	iuc 2	iro 2	Klebsiella pneumoniae	-	hvKp
GCF_000763925.1_CDPH5262-4_genomic.fna		-21.764507293701172	-0.1627640575170517	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000763935.1_CDPH3823-4_genomic.fna		-21.764507293701172	-0.1627640575170517	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000764615.1_ASM76461v1_genomic.fna		-21.914813995361328	-1.0406231880187988	ST15	Nepal	2011	-	-	Klebsiella pneumoniae	NDM-1;NDM-1;NDM-1	CRKp
GCF_000773875.1_gdodcwi15_v01_genomic.fna		-21.8883056640625	1.5305842161178589	ST199	USA	2009	-	-	Klebsiella pneumoniae	GES-5^	CRKp
GCF_000775375.1_ASM77537v1_genomic.fna		-23.198720932006836	-3.4626080989837646	ST258	USA	2013	-	-	Klebsiella pneumoniae	KPC-3;KPC-3;KPC-3	CRKp
GCF_000775395.1_ASM77539v1_genomic.fna		-22.755420684814453	-3.5952892303466797	ST258	USA	2013	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000784945.1_ASM78494v1_genomic.fna		-20.093936920166016	0.5460105538368225	ST1518	USA	2013	-	-	Klebsiella pneumoniae	KPC-3	CRKp
GCF_000784985.1_ASM78498v1_genomic.fna		-21.712709426879883	-4.887874126434326	ST258	USA	NA	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000785005.1_ASM78500v1_genomic.fna		-24.876121520996094	0.4619901478290558	ST392	USA	2013	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000786375.2_ASM78637v2_genomic.fna		-23.082256317138672	1.845591425895691	ST3915	Malaysia	2014	-	-	Klebsiella variicola subsp. variicola	KPC-6;KPC-6	CRKp
GCF_000802765.1_SPADES_assembly_of_Enterobacter_cloacae_ND17_genomic.fna	H	-22.942140579223633	-3.4757018089294434	nan	USA	2012	-	iro unknown	Klebsiella aerogenes	NDM-1*	CRhvKp
GCF_000814305.1_ASM81430v1_genomic.fna		-22.08312225341797	-3.4708826541900635	ST258	USA	2011	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000826605.1_Klebsiella_pneumoniae_KMP_nasey_genomic.fna		-20.583574295043945	-0.5913172960281372	ST11	France	2010	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000943095.1_ST15_genomic.fna		-22.024677276611328	-1.168705701828003	ST15	Nepal	2012	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000949515.1_ASM94951v1_genomic.fna		-23.845666885375977	7.8316545486450195	ST375	Germany	2014	iuc 1	iro 1	Klebsiella pneumoniae	-	hvKp
GCF_000956385.1_CDPH3707-4_genomic.fna		-21.904680252075195	-0.2561512291431427	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000956395.1_CDPH_3020-4_genomic.fna		-21.71735191345215	-0.043389540165662766	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000956895.1_ASM95689v1_genomic.fna	Unassigned	-23.2705020904541	-3.370457887649536	nan	USA	2012	-	iro unknown	Klebsiella Ka4	KPC-3	CRhvKp
GCF_000957275.1_ASM95727v1_genomic.fna	H	-21.683109283447266	-4.820084571838379	nan	USA	2013	-	iro unknown	Klebsiella aerogenes	KPC-3	CRhvKp
GCF_000957485.1_ASM95748v1_genomic.fna	H	-21.634721755981445	-4.602572441101074	nan	USA	2010	-	iro unknown	Klebsiella aerogenes	KPC-2	CRhvKp
GCF_000957705.1_ASM95770v1_genomic.fna		-23.310440063476562	-3.123389959335327	nan	USA	2012	-	-	Klebsiella aerogenes	KPC-3	CRKp
GCF_000957715.1_ASM95771v1_genomic.fna	Unassigned	-23.2705020904541	-3.370457887649536	nan	USA	2012	-	iro unknown	Klebsiella Ka4	KPC-3	CRhvKp
GCF_000957725.1_ASM95772v1_genomic.fna	Unassigned	-23.2705020904541	-3.370457887649536	nan	USA	2012	-	iro unknown	Klebsiella Ka4	KPC-3	CRhvKp
GCF_000958075.1_ASM95807v1_genomic.fna		-22.629655838012695	-3.947878122329712	nan	USA	2012	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_000958305.1_ASM95830v1_genomic.fna	Unassigned	-23.436229705810547	-0.8448399305343628	nan	USA	2014	-	iro unknown	Klebsiella aerogenes	KPC-2	CRhvKp
GCF_000958945.1_matepair3_genomic.fna		-21.764507293701172	-0.1627640575170517	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000958955.1_matepair02_genomic.fna		-21.86577606201172	-0.22777540981769562	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000958965.1_matepair4_genomic.fna		-21.764507293701172	-0.1627640575170517	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000958975.1_matepair01_genomic.fna		-21.71735191345215	-0.043389540165662766	ST147	USA	2014	-	-	Klebsiella pneumoniae	NDM-1	CRKp
GCF_000967845.1_ASM96784v1_genomic.fna		-23.598247528076172	-1.5454014539718628	ST67 (subsp. rhinoscleromatis)	nan	NA	iuc 4	-	Klebsiella pneumoniae	-	hvKp
GCF_000968155.1_ASM96815v1_genomic.fna		-24.694717407226562	8.923282623291016	ST66	nan	NA	iuc 2	iro 2	Klebsiella pneumoniae	-	hvKp
GCF_000971075.1_ASM97107v1_genomic.fna		-21.917919158935547	-3.038184881210327	ST437	USA	2014	-	-	Klebsiella pneumoniae	NDM-5;OXA-232	CRKp
GCF_000982045.1_ASM98204v1_genomic.fna		-22.023014068603516	-3.4846394062042236	ST258	USA	2012	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_000982085.1_ASM98208v1_genomic.fna		-21.57054901123047	-2.5556397438049316	ST48	Honduras	2012	-	-	Klebsiella pneumoniae	KPC-2	CRKp
GCF_001008725.1_ASM100872v1_genomic.fna		-23.121013641357422	-4.083469390869141	ST258	USA	2008	-	-	Klebsiella pneumoniae	KPC-3;KPC-3	CRKp
GCF_001011175.1_ASM101117v1_genomic.fna		-22.153417587280273	-1.6120375394821167	nan	USA	2009	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011185.1_ASM101118v1_genomic.fna		-22.629655838012695	-3.947878122329712	nan	USA	2003	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011195.1_ASM101119v1_genomic.fna		-23.781896591186523	0.8929948210716248	nan	USA	2004	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011205.1_ASM101120v1_genomic.fna		-22.629655838012695	-3.947878122329712	nan	USA	2004	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011255.1_ASM101125v1_genomic.fna		-22.774194717407227	-2.5766398906707764	nan	USA	2004	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011265.1_ASM101126v1_genomic.fna		-22.629655838012695	-3.947878122329712	nan	USA	2005	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011385.1_ASM101138v1_genomic.fna		-22.966630935668945	-0.19381733238697052	nan	USA	2002	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011415.1_ASM101141v1_genomic.fna		-22.700706481933594	-3.7962141036987305	nan	USA	2002	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011455.1_ASM101145v1_genomic.fna		-21.713520050048828	-3.533902883529663	nan	USA	2004	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011475.1_ASM101147v1_genomic.fna		-23.514755249023438	-1.5950981378555298	nan	USA	2006	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011495.1_ASM101149v1_genomic.fna		-22.629655838012695	-3.947878122329712	nan	USA	2007	-	iro unknown	Klebsiella Ka4	-	hvKp
GCF_001011535.1_ASM101153v1_genomic.fna		-24.64057159423828	0.24604524672031403	nan	USA	2007	-	iro unknown	Klebsiella aerogenes	-	hvKp
GCF_001011615.1_ASM101161v1_genomic.fna		-24.349477767944336	2.0574569702148438	nan	USA	2009	-	iro unknown	Klebsiella aerogenes	-	hvKp
